Course,Level,ID,Project Name,Project Type,Project Theme,Learning Objectives,Vocabulary,CSTA Standards
CS Adventures with VR,1,1.1,Dinosaur Hero,Guided Project,"In this project, students help a dinosaur mother find her missing eggs!","Students will:
- Understand the different types of projects they’ll be completing, how rubrics are used, and what it means for a project to be sent back
- Successfully login to their Hello World CS account
Identify the parts and functions of the computer and keyboard
- Practice keyboarding with both hands
- Use their knowledge of the keyboard and trackpad/mouse to successfully complete the first project, Dinosaur Hero","computer science, virtual reality, computer, computer screen, keyboard, trackpad, mouse, enter key, spacebar, teamwork","1A-CS-02, 1A-CS-03, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,1,1.2,Find the Fish,Team Project,"In this project, students help their teacher find a missing fish!","Student teams will:
- Successfully work together
- Practice keyboarding with both hands
- Use their knowledge of the keyboard and trackpad/mouse to successfully complete the project","computer science, virtual reality, computer, computer screen, keyboard, trackpad, mouse, enter key, spacebar, teamwork","1A-CS-02, 1A-CS-03, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,1,1.3,Mail Grab!,Independent Project,"In this project, students collect all of the missing mail before the mail truck finishes the route!","Student will:
- Practice keyboarding with both hands
- Use their knowledge of the keyboard and trackpad/mouse to successfully complete the project","computer science, virtual reality, computer, computer screen, keyboard, trackpad, mouse, enter key, spacebar, teamwork","1A-CS-02, 1A-CS-03, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,2,2.1,Animal Rescue,Guided Project,"In this project, students build an animal rescue filled with their favorite animals.","Students will:
- Build a VR scene with a unique environment
- Add groups of objects to the VR scene
- Add animations to objects in the scene
- Practice keyboarding with both hands","algorithm, animation, binary code, code, environment, group, object inspector, scene, virtual reality","1A-CS-02, 1A-CS-03, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,2,2.2,Halloween Parade,Team Project,"In this project, student teams build a parade with Halloween characters!","Student teams will:
- Successfully work together
- Build a scene with a unique environment and object
- Change the materials and animations of objects in the scene","algorithm, animation, binary code, code, environment, group, object inspector, scene, virtual reality","1A-CS-02, 1A-CS-03, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,2,2.3,Backyard Dance Party,Independent Project,"In this project, students are having a dance party in their backyard!","Students will:
- Build a scene with a unique environment and object
- Change the materials and animations of objects in the scene","algorithm, animation, binary code, code, environment, group, object inspector, scene, virtual reality","1A-CS-02, 1A-CS-03, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,3,3.1,Alien Planet,Guided Project,"In this project, students are talking to aliens on a different planet!","Students will:
- Change the material of an object
- Add speech to an object
- Add buildings that feature in the scene","material, speech, building, decorated","1A-CS-02, 1A-CS-03, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,3,3.2,Alphabet Town,Team Project,"In this project, student teams build a town based on a letter that they choose!","Student teams will:
- Change the material of an object
- Add speech to an object
- Add buildings that feature in the scene","material, speech, building, decorated","1A-CS-02, 1A-CS-03, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,3,3.3,I Spy,Independent Project,"In this project, students create an I Spy game!","Students will:
- Change the material of an object
- Add speech to an object
- Add buildings that feature in the scene","material, speech, building, decorated","1A-CS-02, 1A-CS-03, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,4,4.1,The Magic Forest,Guided Project,"In this project, students create a magic forest where magical animals live.","Students will:
- Add code so that objects can be clicked on
- Add code so that the animation changes when an object is clicked on
- Change the size of objects","code, event, when object is clicked, set animation of object","1A-CS-02, 1A-CS-03, 1A-AP-08, 1A-AP-09, 1A-AP-10, 1A-AP-11, 1A-AP-12, 1A-AP-13, 1A-AP-14, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,4,4.2,Holiday Fun,Team Project,"In this project, student teams will create a holiday celebration. Some examples of holidays are New Year’s Eve, Valentine’s Day, 4th of July, Thanksgiving, Mother’s Day, and Father’s Day.","Students will:
- Add code so that objects can be clicked on
- Add code so that the animation changes when an object is clicked on
- Change the size of objects","code, event, when object is clicked, set animation of object","1A-CS-02, 1A-CS-03, 1A-AP-08, 1A-AP-09, 1A-AP-10, 1A-AP-11, 1A-AP-12, 1A-AP-13, 1A-AP-14, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,4,4.3,Passion Project,Independent Project,"In this project, students create a CoSpace of their choice! They will use the skills they’ve learned in this level, and follow any guidance given by their teacher.","Students will:
- Add code so that objects can be clicked on
- Add code so that the animation changes when an object is clicked on
- Change the size of objects","code, event, when object is clicked, set animation of object","1A-CS-02, 1A-CS-03, 1A-AP-08, 1A-AP-09, 1A-AP-10, 1A-AP-11, 1A-AP-12, 1A-AP-13, 1A-AP-14, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,5,5.1,Picnic Party,Guided Project,"In this project, students create a picnic where people and animals are enjoying a party!","Students will:
- Add a show info panel with text for the user
- Add code so that text appears when an object is clicked on
- Add code so that the animation changes when an object is clicked on","loops, show info panel, animate when clicked on, say text when clicked on","1A-CS-02, 1A-CS-03, 1A-AP-08, 1A-AP-09, 1A-AP-10, 1A-AP-11, 1A-AP-12, 1A-AP-13, 1A-AP-14, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,5,5.2,Dinosaur Safari,Team Project,"In this project, student teams will create a dinosaur safari.","Student teams will:
- Add a show info panel with text for the user
- Add code so that text appears when an object is clicked on
- Add code so that the animation changes when an object is clicked on","loops, show info panel, animate when clicked on, say text when clicked on","1A-CS-02, 1A-CS-03, 1A-AP-08, 1A-AP-09, 1A-AP-10, 1A-AP-11, 1A-AP-12, 1A-AP-13, 1A-AP-14, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Adventures with VR,5,5.3,Passion Project,Independent Project,"In this project, students create a CoSpace of their choice! They will use the skills they’ve learned in this level, and follow any guidance given by their teacher.","Students will:
- Add a show info panel with text for the user
- Add code so that text appears when an object is clicked on
- Add code so that the animation changes when an object is clicked on","loops, show info panel, animate when clicked on, say text when clicked on","1A-CS-02, 1A-CS-03, 1A-AP-08, 1A-AP-09, 1A-AP-10, 1A-AP-11, 1A-AP-12, 1A-AP-13, 1A-AP-14, 1A-AP-15, 1A-IC-17, 1A-IC-18"
CS Breakthroughs with VR,0,0.1,Cyber Smart Explorers,Unplugged,,"Students will:
- Understand cybersecurity basics.
- Compare and contrast private and public information.
- Identify ways to be safe, respectful, responsible and a learner with computers as a part of digital citizenship
- Demonstrate account safety by creating strong passwords, logging off devices, and keeping information private.","Digital Citizenship, Cybersecurity, Personal Information, Public Information, Phishing, Password",1B-NI-05
CS Breakthroughs with VR,0,0.2,Digital Footprints,Unplugged,,"Students will:
- Define digital footprint and digital etiquette.
- Describe how information retained online creates a permanent digital footprint.
- Create a representation of how they can leave a positive digital footprint, including strategies for protecting personal information and respecting others online.","Digital Footprint, Digital Etiquette, Upstander",1B-NI-05
CS Breakthroughs with VR,0,0.3,Journey Through Computer Systems,Unplugged,,"Students will:
- Model how hardware and software components work together to complete tasks within a computer system.
- Demonstrate how data is transmitted as packets across a network and reassembled at the destination.
- Evaluate whether specific components in a system are hardware or software.","Hardware, Software, Components, Computer System, Data Packets","1B-CS-01, 1B-CS-02, 1B-NI-04"
CS Breakthroughs with VR,0,0.4,Technology Transformations,Unplugged,,"Students will:
- Discuss computing technologies that have changed the world and how they have influenced our cultural practices.
- Redesign an item at their school with features that will make it more inclusive.
- Explain how accessibility features in technology improve usability for diverse users.","Accessible, Diverse, Inclusive","1B-IC-18, 1B-IC-19"
CS Breakthroughs with VR,0,0.5,Copyright: Protecting Creativity,Unplugged,,"Students will:
- What is Copyright and why is it important?
- What are the differences between copyright, public domain, and fair use?
- How can we use someone else’s work legally and respectfully?","Copyright, Fair Use, Public Domain, Creative Commons, Remix, Copyright Infringement",1B-IC-21
CS Breakthroughs with VR,0,0.6,Data Detectives,Unplugged,,"Students will:
- Use data to highlight or propose cause and effect relationships, predict outcomes, or communicate an idea.
- Organize and present collected data visually to highlight relationships and support a claim.","Data, Predict, Analyze","1B-DA-06, 1B-DA-07"
CS Breakthroughs with VR,0,0.7,Slide Smarts with Digital Workbooks,Activity,,"Students will:
- Navigate the online workbook.
- Practice keyboarding skills and how to use a trackpad.
- Learn how to move, flip and rotate objects.
- Use features like typing, resizing images, and inserting pictures into Google Slides.","Application, Google Slide, Cursor, Rotate, Copy/paste, Crop, Upload, Right-click","1B-NI-05, 1B-IC-21"
CS Breakthroughs with VR,0,0.8,Scavenger Hunt,Activity,,"Students will:
- Identify and apply basic troubleshooting techniques.
- Navigate the Hello World CS website.
- Practice correct keyboarding techniques by using appropriate hand and body positions.","Troubleshoot, Tutorial, Navigate, Login, Audio, Scroll, Window, Pop-up, Project Rubric","1B-CS-03, 1B-NI-05"
CS Breakthroughs with VR,0,0.9,VR Tutorial,Guided Project,,"Students will:
- Identify environments and objects in virtual scenes.
- Successfully navigate through the Dinosaur Hero activity.
- Add and manipulate objects in a scene in the Desert Camp activity.","CoSpace, Library, Object, Scene",
CS Breakthroughs with VR,1,1.1,Our Class Pet,Guided Project,"In this project, students choose and train a class pet for their virtual reality classroom.","Students will:
- Add objects from the Library into a scene
- Change the look of the scene by updating the environment
- Change the animation of objects using the Object Inspector","Animation, Scene, Environment, Library, Object","1B-CS-03, 1B-AP-11, 1B-AP-12, 1B-AP-14"
CS Breakthroughs with VR,1,1.2,Team Battle,Team Project,"In this project, student teams will create an epic battle between two teams of characters or animals!","Student teams will:
- Add objects from the Library to create two teams
- Change the animation of objects using the Object Inspector
- Change the look of the teams using the Material property","Animation, Scene, Environment, Library, Object","1B-CS-03, 1B-AP-11, 1B-AP-12, 1B-AP-13, 1B-AP-14, 1B-AP-16, 1B-AP-17, 1B-IC-20"
CS Breakthroughs with VR,1,1.3,Future Me,Independent Project,"In this project, students create a scene about who they want to be in the future!","Student will:
- Add objects from the Library to design a scene
- Change the animations of objects using the Object Inspector","Animation, Scene, Environment, Library, Object","1B-CS-03, 1B-AP-11, 1B-AP-12, 1B-AP-14"
CS Breakthroughs with VR,1,1.4,Passion Project,Independent Project,"In this project, students create and design a CoSpace of their choice. Students use the skills they’ve learned in this level, and follow any guidance given by their teacher.","Students will be able to:
- Add objects from the Library into a scene
- Change the look of the scene by updating the environment
- Change the animation of characters using the Object Inspector","Animation, Scene, Environment, Library, Object","1B-CS-03, 1B-AP-11, 1B-AP-12, 1B-AP-14"
CS Breakthroughs with VR,2,2.1,Hide and Seek,Guided Project,"In this project, students are playing hide and seek! They look around the scene to find all three characters that are hiding from them!","Students will:
- Build a scene with a unique environment and object
- Change the materials and animations of objects in the scene
- Add code to make objects in the scene clickable
- Add text to the scene for the user to read","Code, CoBlock, Input, Material, Object Inspector, Output, Sequence","1B-CS-03, 1B-AP-08, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-14, 1B-AP-15"
CS Breakthroughs with VR,2,2.2,Animal Whisperer,Team Project,"In this project, students are animal whisperers! An animal whisperer is someone who can understand how animals are feeling. Students help three animals feel better.","Student teams will:
- Build a scene with a unique environment and object
- Change the materials and animations of objects in the scene
- Add code to make objects in the scene clickable
- Add text to the scene for the user to read","Code, CoBlock, Input, Material, Object Inspector, Output, Sequence","1B-CS-03, 1B-AP-08, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-13, 1B-AP-14, 1B-AP-15, 1B-AP-16, 1B-AP-17, 1B-IC-20"
CS Breakthroughs with VR,2,2.3,Alien Invasion!,Independent Project,"In this project, aliens are invading Earth! Students talk to the aliens to learn why they came to Earth.","Students will:
- Build a scene with a unique environment and object
- Change the materials and animations of objects in the scene
- Add code to make objects in the scene clickable
- Add text to the scene for the user to read","Code, CoBlock, Input, Material, Object Inspector, Output, Sequence","1B-CS-03, 1B-AP-08, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-14, 1B-AP-15"
CS Breakthroughs with VR,2,2.4,Passion Project,Independent Project,"In this project, students create and design a CoSpace of their choice. Students use the skills they’ve learned in this level, and follow any guidance given by their teacher.","Students will:
- Build a scene with a unique environment and object
- Change the materials and animations of objects in the scene
- Add code to make objects in the scene clickable
- Add text to the scene for the user to read","Code, CoBlock, Input, Material, Object Inspector, Output, Sequence","1B-CS-03, 1B-AP-08, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-14, 1B-AP-15"
CS Breakthroughs with VR,3,3.1,Obstacle Course,Guided Project,"In this project, students are building an obstacle course! They’ll create a path with jumps, moving obstacles, and a prize for the Player at the end.","Students will:
- Build a scene with obstacles for Players to overcome
- Detect when two objects collide
- Add code to create moving obstacles
- Use loops to make obstacles repeat movement","Loop, Collide","1B-CS-03, 1B-AP-08, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-14, 1B-AP-15"
CS Breakthroughs with VR,3,3.2,Carnival Rides,Team Project,"In this project, students are building rides for a carnival! They will choose what each ride looks like and how each ride moves.","Student teams will:
- Build a scene with carnival rides
- Add code to start moving the rides
- Use loops to make the rides repeat movement","Loop, Collide","1B-CS-03, 1B-AP-08, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-13, 1B-AP-14, 1B-AP-15, 1B-AP-16, 1B-AP-17, 1B-IC-20"
CS Breakthroughs with VR,3,3.3,Escape the Maze,Independent Project,"In this project, students are lost in a maze! Students move through the maze and click on walls and other objects to move them out of the way to help find the exit.","Students will:
- Add a path with a start and end
- Add objects that move when clicked on
- Use loops to move walls and other objects","Loop, Collide","1B-CS-03, 1B-AP-08, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-14, 1B-AP-15"
CS Breakthroughs with VR,3,3.4,Passion Project,Independent Project,"In this project, students create and design a CoSpace of their choice. Students use the skills they’ve learned in this level, and follow any guidance given by their teacher.","Students will:
- Create objects that can be clicked on
- Detect when two objects collide
- Move and turn objects
- Use loops to repeat CoBlocks","Loop, Collide","1B-CS-03, 1B-AP-08, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-14, 1B-AP-15"
CS Breakthroughs with VR,4,4.1,Spy Mission,Guided Project,"In this project, students are spies on a mission! Students choose a codename and search for a passcode hidden in the scene to complete their mission!","Students will:
- Add a string variable to their program
- Program an object to move on a path
- Add run parallel code to objects in their scene","Data Type, String, Variable, Run Parallel","1B-CS-03, 1B-AP-08, 1B-AP-09, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-14, 1B-AP-15"
CS Breakthroughs with VR,4,4.2,Tiny Town,Team Project,"In this project, students are the new Co-Mayor of Tiny Town! Students help choose a new name for the town and interact with characters and objects in the town","Student teams will:
- Add a string variable to their program
- Program objects to move on a path when clicked on
- Program characters to use a string variable to say text","Data Type, String, Variable, Run Parallel","1B-CS-03, 1B-AP-08, , 1B-AP-09, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-13, 1B-AP-14, 1B-AP-15, 1B-AP-16, 1B-AP-17, 1B-IC-20"
CS Breakthroughs with VR,4,4.3,Passion Project,Independent Project,"In this project, students create and design a CoSpace of their choice. Students use the skills they’ve learned in this level, and follow any guidance given by their teacher.","Students will:
- Use variables to store and update information
- Move objects on paths, when clicked on
- Run multiple scripts simultaneously","Data Type, String, Variable, Run Parallel","1B-CS-03, 1B-AP-08, 1B-AP-09, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-14, 1B-AP-15"
CS Breakthroughs with VR,5,5.1,Clicker Garden,Guided Project,"In this project, students help a friend grow things in their garden. Students build a machine that makes gardens grow faster by clicking a button.","Students will:
- Add a number variable that stores the number of button clicks
- Add a button that makes objects grow when clicked on
- Add string variables that store data
- Add conditional statements to change the project dialogue","Conditional, Data Type, Operator","1B-CS-03, 1B-AP-08, 1B-AP-09, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-14, 1B-AP-15"
CS Breakthroughs with VR,5,5.2,Team Exploration,Team Project,"In this project, student teams build a scene about something they are all interested in or want to learn more about.","Students will:
- Add string variables that store data
- Add conditional statements to change the project dialogue","Conditional, Data Type, Operator","1B-CS-03, 1B-AP-08, , 1B-AP-09, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-13, 1B-AP-14, 1B-AP-15, 1B-AP-16, 1B-AP-17, 1B-IC-20"
CS Breakthroughs with VR,5,5.3,Hidden Objects,Independent Project,"In this project, students build a scene and hide at least three objects somewhere in the scene. The player's goal will be to find and click on all of the hidden objects.","Students will:
- Create number variables
- Change the value of variables
- Create conditionals to check the value of variables","Conditional, Data Type, Operator","1B-CS-03, 1B-AP-08, 1B-AP-09, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-14, 1B-AP-15"
CS Breakthroughs with VR,5,5.4,Passion Project,Independent Project,"In this project, students create and design a CoSpace of their choice. Students use the skills they’ve learned in this level, and follow any guidance given by their teacher.","Students will:
- Build a scene with a unique environment and object
- Change the materials and animations of objects in the scene
- Add code to make objects in the scene clickable
- Add text to the scene for the user to read","Conditional, Data Type, Operator","1B-CS-03, 1B-AP-08, 1B-AP-09, 1B-AP-10, 1B-AP-11, 1B-AP-12, 1B-AP-14, 1B-AP-15"
CS Connections with VR,0,0.1,Fantastic Features,Unplugged,,"Students will:
- Recommend improvements to the design of computing devices, based on an analysis of how users interact with the devices.","Accessibility, Feature, Computer Science, Virtual Reality","2-CS-01, 2-IC-22"
CS Connections with VR,0,0.2,Data on the Move!,Unplugged,,"Students will:
- Explain the key components that make a computer
- Represent data using multiple encoding schemes","Data, Input, Output, Storage, Process",2-DA-07
CS Connections with VR,0,0.3,The Internet & You,Unplugged,,"Students will:
- Model the role of protocols in transmitting data across networks and the Internet
- Explain how physical and digital security measures protect electronic information
- Apply multiple methods of encryption to model the secure transmission of information","Internet, Server, Internet Protocol, Router, Transmission Control Protocol","2-NI-04, 2-NI-05, 2-NI-06, 2-IC-23"
CS Connections with VR,0,0.4,Digital Device Design,Unplugged,,"Students will:
- Identify and describe the functions of various hardware and software components, including input, output, storage, and processing.
- Design projects that effectively integrate selected hardware and software components to collect and exchange data.","Algorithm, Code, Debut","2-CS-01, 2-CS-02"
CS Connections with VR,0,0.5,Coding Superheroes,Unplugged,,"Students will:
- Use pseudocode to develop algorithms that solve problems","Algorithm, Code, Program, Sequence","2-AP-10, 2-IC-20"
CS Connections with VR,0,0.6,Data Comes to Life,Workbook Activity,,"Students will:
- Collect data using computational tools and transform the data to make it more useful and reliable
- Refine computational models based on the data they have generated",Data Visualization,"2-DA-08, 2-DA-09, 2-IC-22"
CS Connections with VR,0,0.7,VR Tutorial,Tutorial,,"Students will:
- Identify environments and objects in virtual scenes.
- Successfully navigate through the VR Tutorial: Dinosaur Hero.","CoSpace, Library, Object, Scene",2-CS-03
CS Connections with VR,0,0.8,Underwater,Guided Project,,"Students will:
- Utilize a growth mindset in order to troubleshoot.
- Find and talk about examples where technology might not be fair to everyone.
- Add objects to a scene in CoSpaces.","Troubleshoot, Scene, Environment, Object, Object Library","2-AP-13, 2-AP-15, 2-AP-17, 2-AP-18, 2-IC-21"
CS Connections with VR,1,1.1,Giants on the Loose!,Guided Project,"In this project, students create a scene where a science experiment has gone terribly wrong and giant animals are on the loose!","Students will:
- Add objects from the Library
- Rotate objects using the ""Rotate Mode"" tool
- Make objects big or small using the ""Drag to Scale"" tool
- Change the animations of animals and characters","Library, Object, Scene, Animation, CoSpace, Environment, Object Inspector, Scene, Snapping, CoBlock, Material",2-AP-13
CS Connections with VR,1,1.2,Robot Kids,Guided Project,"In this project, students are programming robot kids! The robots will live in a secret place that students create. Students will decide what each of the robots learn and then program them to act it out.","Students will:
- Turn on CoBlocks so that objects can use code
- Use CoBlocks to click on objects
- Use CoBlocks to change animations
- Add speech to characters","Library, Object, Scene, Animation, CoSpace, Environment, Object Inspector, Scene, Snapping, CoBlock, Material",2-AP-13
CS Connections with VR,1,1.3,Let's Party!,Team Project,"In this project, student teams are having a party! Teams can choose to build a holiday party, birthday party, a sleepover with your friends, or something else. ","Student teams will:
- Add characters, animals, and objects from the Library
- Change the animation of characters and animals using CoBlocks
- Add speech to characters","Library, Object, Scene, Animation, CoSpace, Environment, Object Inspector, Scene, Snapping, CoBlock, Material","2-CS-01, 2-AP-13, 2-AP-15, 2-AP-18"
CS Connections with VR,1,1.4,Animal Life,Independent Project,"In this project, students will view the world through the eyes of an animal. Students will use objects from the Library to build a scene and then explore it from an animal's point of view. ","Students will:
- Add objects from the Library
- Change the animation of animals
- Change the material of animals
- Use CoBlocks to change animal animations","Library, Object, Scene, Animation, CoSpace, Environment, Object Inspector, Scene, Snapping, CoBlock, Material",2-AP-13
CS Connections with VR,1,1.5,Costume Shop,Independent Project,"In this project, students build their own costume shop. Students will design the shop and decide what costumes and objects to sell. ","Students will:
- Add objects from the Library
- Add speech to characters
- Change the animation of characters","Library, Object, Scene, Animation, CoSpace, Environment, Object Inspector, Scene, Snapping, CoBlock, Material",2-AP-13
CS Connections with VR,1,1.6,Passion Project,Independent Project,"In this project, students create and design a CoSpace of their choice. ","Student teams will:
- Add characters, animals, and objects from the Library
- Change the animation of characters and animals using CoBlocks
- Add speech to characters","Library, Object, Scene, Animation, CoSpace, Environment, Object Inspector, Scene, Snapping, CoBlock, Material",2-AP-13
CS Connections with VR,2,2.1,Show and Tell Room,Guided Project,"In this project, students design a show and tell room. The room will have four walls, and each wall will show something about the student that they want to share. Students will design a wall for their family, hobbies, favorite place, and favorite animal or pets.","Students will:
- Use CoBlocks to add speech to objects
- Search for images in the Uploads tab
- Add Text objects","Sequence, Lock, Upload, Call, Concatenate, Data Type, Sequence, String, Variable, Path","2-AP-13, 2-AP-17"
CS Connections with VR,2,2.2,Animal Trainer,Guided Project,"In this project, students are an animal trainer on a movie set. Students have been tasked with training three animals to perform tricks for different scenes in the movie.","Students will:
- Create variables to store strings
- Use CoBlocks to move objects in a direction
- Use CoBlocks to move objects on a path
- Use CoBlocks to rotate an object","Sequence, Lock, Upload, Call, Concatenate, Data Type, Sequence, String, Variable, Path","2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19"
CS Connections with VR,2,2.3,Island Survivors,Team Project,"In this project, student teams are lost on a deserted island! Teams must explore the island, talk to other survivors, and search for any objects that may help to survive.","Student teams will:
- Use CoBlocks to animate objects when clicked on
- Use CoBlocks to add speech to objects
- Use CoBlocks to move objects
- Use string variables to display text","Sequence, Lock, Upload, Call, Concatenate, Data Type, Sequence, String, Variable, Path","2-CS-01, 2-AP-11, 2-AP-13, 2-AP-15, 2-AP-17, 2-AP-18, 2-AP-19"
CS Connections with VR,2,2.4,Dream Hosue,Independent Project,"In this project, students design and build their very own dream house. The house will have at least three rooms and each room will have something different inside.","Students will:
- Use CoBlocks to animate objects when clicked on
- Use CoBlocks to add speech to objects when clicked on
- Create string variables to display text","Sequence, Lock, Upload, Call, Concatenate, Data Type, Sequence, String, Variable, Path","2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19"
CS Connections with VR,2,2.5,Scavenger Hunt,Independent Project,"In this project, students build a scene and hide at least five objects somewhere in the scene. The player's goal will be to find and click on all of the hidden objects.","Students will:
- Use CoBlocks to animate objects when clicked on
- Use CoBlocks to add speech to objects when clicked on
- Use CoBlocks to move objects","Sequence, Lock, Upload, Call, Concatenate, Data Type, Sequence, String, Variable, Path","2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19"
CS Connections with VR,2,2.6,Passion Project,Independent Project,"In this project, students create and design a CoSpace of their choice. ","Student will:
- Use CoBlocks to animate objects when clicked on
- Use CoBlocks to add speech to objects
- Use CoBlocks to move objects
- Use string variables to display text","Sequence, Lock, Upload, Call, Concatenate, Data Type, Sequence, String, Variable, Path","2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19"
CS Connections with VR,Capstone,1,A Symbiotic World,Team Challenge,"In this project, student teams show the different types of symbiotic relationships that exist in nature. Students will respond to the question: How do symbiotic relationships help animals to survive?","Students will:
Use CoBlocks to make objects clickable
Use CoBlocks to animate objects
Use CoBlocks to move objects
Use variables to store information
Add text to the scene",,"2-CS-01, 2-AP-11, 2-AP-13, 2-AP-15, 2-AP-17, 2-AP-18, 2-AP-19"
